,x,y
1078,720,1110
1077,780,1110
1076,840,1110
1075,900,1110
1074,960,1110
1073,1020,1110
1464,30,1140
1463,90,1140
1462,150,1140
1461,210,1140
1460,270,1140
1459,330,1140
1458,390,1140
1457,450,1140
1456,510,1140
1455,570,1140
1454,630,1140
1453,690,1140
1452,750,1140
1451,810,1140
1450,870,1140
1449,930,1140
1448,990,1140
1447,1050,1140
